Name
"PD Dr. med. Tomas Pfeiffer, Singen (Hohentwiel), Chirurg, Arzt"
"Dr. med. Natalia Straub, Ahlen, Hautärztin, Ärztin"
"PD Dr. med. Patrick Berg, Ahlen, Augenarzt, Arzt"
"Dr. med. Erzen Bujupi, Ahlen, Radiologe, Arzt"
" Valbona Osdautaj, Ahlen, Neurologin, Ärztin"
"Dr. med. Su-Sin Kim, Ahlen, Chirurg, Arzt"
" Katharina Migulja, Ahlen, Anästhesistin, Ärztin"
"Dr. med. Elmar Holtmann, Ahlen, Facharzt für Innere Medizin, Arzt"
" Rainer Kortmann, Ahlen, Allgemeinmediziner, Arzt"
"Dr. med. Maria Voß, Ahlen, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Ernst Uphoff, Ahlen, Allgemeinmediziner, Arzt"
"Dr. Alexandra Probst, Ahlen, Augenärztin, Ärztin"
"Dr. med. Heinrich Untiedt, Ahlen, Allgemeinmediziner, Arzt"
"Dr. med. Christoph Bozzetti, Ahlen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Jürgen Gude, Ahlen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Christian Rahmati, Ahlen, Chirurg, Arzt"
"Dr. med. Rolf Bruckmann, Ahlen, Kinderpsychiater, Arzt"
" Johann-Georg von Dewitz, Lachendorf, Allgemeinmediziner, Arzt"
"Dr. med. Heide Otten, Wienhausen, Praktische Ärztin, Ärztin"
"Dr. med. Maryna Yushchenko, Wienhausen, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. Eugen Baiduc, Wienhausen, Allgemeinmediziner, Arzt"
"Dr. med. Kirsten Bleich, Eicklingen, Allgemeinmedizinerin, Ärztin"
" Jürgen O. Fraedrich, Wienhausen, Allgemeinmediziner, Arzt"
"Dr. Mikhail Melkumov, Wienhausen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Victor Helmstädter, Lachendorf, HNO Arzt, Arzt"
" Ruth Deecke, Eicklingen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Vera Meyer-Lehnert, Lachendorf, Kinderärztin, Ärztin"
"Dr. med. Claudia Folle, Lachendorf, Kinderärztin, Ärztin"
"Dr. med. Dieter Goldammer, Lachendorf, Augenarzt, Arzt"
"Dr. med. Simone Larseille, Lachendorf, HNO Ärztin, Ärztin"
"Dr. med. Christian Loos, Lachendorf, Facharzt für Innere Medizin, Arzt"
" Christine Dollriess, Lachendorf, Frauenärztin, Ärztin"
"Dr. med. Gisela Winterhoff, Beedenbostel, Neurologin, Ärztin"
" Susanna Passow-Seuß, Plattling, HNO Ärztin, Ärztin"
"Dr. med. Eva-Maria Lemberger, Plattling, Kinderärztin, Ärztin"
"Dr. med. Annette Weber, Plattling, Allgemeinmedizinerin, Ärztin"
" Daniel Forster, Deggendorf, Psychiatrie u. Psychotherapie, Arzt"
"Dr. med. Gerhard Strasser, Plattling, HNO Arzt, Arzt"
"Prof. Dr. med. Erwin Kunesch, Deggendorf, Neurologe, Arzt"
" Andrea Wegener, Kassel, Neurologin, Ärztin"
"Dr. med. Sabine Kovatsits, Deggendorf, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Sonja Thalhofer, Plattling, Allgemeinmedizinerin, Ärztin"
"Dr. med. Walter Wiesmayer, Deggendorf, Neurologe, Arzt"
"Dr. med. Leonhard Wassermann, Deggendorf, Facharzt für Innere Medizin, Arzt"
"Dr. med. Johann Simmerl, Deggendorf, Neurologe, Arzt"
"Dr. med. Johann Datzmann, Deggendorf, Neurologe, Arzt"
" Helge Schmidt, Plattling, Allgemeinmediziner, Arzt"
"Dr. med. Andreas Schmitt, Plattling, Chirurg, Arzt"
"Dr. med. Marion Einhellig, Plattling, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Gerhard Nawara, Plattling, Facharzt für Innere Medizin, Arzt"
"Dr. med. Wilma Großkopf, Wallerfing, Allgemeinmedizinerin, Ärztin"
"Dr. med. Dieter Goldammer, Lachendorf, Augenarzt, Arzt"
" Simone Schmalz, Osterhofen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Ludwig Liebl, Osterhofen, Praktischer Arzt, Arzt"
"Dr. med. Petra Appinger, Plattling, Frauenärztin, Ärztin"
"Dipl. - Med. Ralf Pokrant, Osterhofen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Bettina Huber, Osterhofen, Fachärztin für Neurochirurgie, Ärztin"
"Dr. med. Peter Vogl, Osterhofen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Maria Hohensinn, Moos, Praktische Ärztin, Ärztin"
"Dr. med. Peter Kraut, Moos, Allgemeinmediziner, Arzt"
"Dr. med. Winfried Speer, Moos, Allgemeinmediziner, Arzt"
"Dr. med. Maria Schroeter-Buechl, Moos, Praktische Ärztin, Ärztin"
"Dipl. - Med. Björn Klaaßen, Oppenheim, Kinderarzt, Arzt"
"Dr. med. Josef Anton Großkopf, Wallerfing, Allgemeinmediziner, Arzt"
"Dr. med. Peter Rüber-Winterhoff, Beedenbostel, Neurologe, Arzt"
"Dr. med. Anton Radlspeck, Aholming, Praktischer Arzt, Arzt"
"Dr. med. Silke Inderwiedenstraße, Ahlen, Frauenärztin, Ärztin"
"Dr. med. Florian J. Netzer, München, Chirurg, Arzt"
"Dr. med. Sylvia Stiegler, Beedenbostel, Allgemeinmedizinerin, Ärztin"
" Ilse Schulze, Beedenbostel, Psychotherapeutin, Ärztin"
" Lilia Martynenko, Lachendorf, Allgemeinmedizinerin, Ärztin"
" Silke Weißbrich, Lachendorf, Fachärztin für Innere Medizin, Ärztin"
" Oliver Weißbrich, Lachendorf, Allgemeinmediziner, Arzt"
" Rainer Liman, Ahnsbeck, Allgemeinmediziner, Arzt"
"Dr. med. Catherine Hollerbach, Lachendorf, Allgemeinmedizinerin, Ärztin"
" Oliver Weißbrich, Ahnsbeck, Allgemeinmediziner, Arzt"
"Dr. med. Michael Wülker, Ahlen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ludger Hartmann, Ahlen, Allgemeinmediziner, Arzt"
"Dr. med. Christoph Kuchta, Ahlen, Allgemeinmediziner, Arzt"
" Olav Münnich, Ahlen, Mund-Kiefer-Gesichtschirurg, Arzt"
"Dr. med. Rolf Wermes, Ahlen, Frauenarzt, Arzt"
" Kambiz Sanavandi, Harsefeld, Allgemeinmediziner, Arzt"
" Claus Zimmermann, Harsefeld, Allgemeinmediziner, Arzt"
"Dr. Christine Bermann, Harsefeld, Fachärztin für Innere Medizin, Ärztin"
" Elke Heinze, Bargstedt, Allgemeinmedizinerin, Ärztin"
" Rainer Liman, Beedenbostel, Allgemeinmediziner, Arzt"
"Dr. med. Michael Max, Harsefeld, HNO Arzt, Arzt"
" Radina Eberstein, Harsefeld, Frauenärztin, Ärztin"
" Franz Irber, Osterhofen, Praktischer Arzt, Arzt"
" Petra Niedermeier, Harsefeld, Kinderärztin, Ärztin"
" David Ibrom, Fredenbeck, Allgemeinmediziner, Arzt"
" Hans-Henning Köper, Harsefeld, Allgemeinmediziner, Arzt"
" Schöning, Ahlerstedt, Allgemeinmediziner, Arzt"
"Dr. med. Matthias Parpart, Ahlerstedt, Allgemeinmediziner, Arzt"
"Dr. med. Nicole Lenzi-Sommer, Ahlerstedt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Hans Bucher, Nürnberg, Chirurg, Arzt"
" Sebastian Jachec, Bayreuth, Plastischer Chirurg, Arzt"
"Dr. med. Kathrin Hamann, München, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Andreas Fleischmann, Lohr am Main, Chirurg, Arzt"
"Dr. med. Elif Cindik-Herbrüggen, München, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. Milan Dinic, München, Facharzt für Innere Medizin, Arzt"
"Dr. med. Andrea Kuhls, Lachendorf, Kinderärztin, Ärztin"
" Stefan Pecher, Fichtelberg, Allgemeinmediziner, Arzt"
" Tobias Gruschan, Harsefeld, Allgemeinmediziner, Arzt"
" Johann-Georg von Dewitz, Ahnsbeck, Allgemeinmediziner, Arzt"
" Friedrich Andreas Stapf, München, Arzt für Ambulante Operationen, Arzt"
"Dr. med. Andreas Hammel, Erlangen, Frauenarzt, Arzt"
"Dr. med. univ. Wien Dost Mohammad, Landshut, Praktischer Arzt, Arzt"
"Dr. med. Caius Radu, Nürnberg, Plastischer Chirurg, Arzt"
"Prof. Dr. med. Friedhelm Herrmann, München, Facharzt für Innere Medizin, Arzt"
"Dr. med. Stephan Ballhaus, Augsburg, HNO Arzt, Arzt"
"Dipl. - Med. Brigitte Seydel, Gerbstedt, Allgemeinmedizinerin, Ärztin"
" Holger Michel, Lutherstadt Eisleben, Allgemeinmediziner, Arzt"
"Dr. Larissa Schneider, Mansfeld, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Michael John, Lutherstadt Eisleben, Chirurg, Arzt"
"Dr. med. Matthias Wätzel, Blankenheim, Allgemeinmediziner, Arzt"
"Dr. med. Kathrin Hofmann, Lutherstadt Eisleben, HNO Ärztin, Ärztin"
"Dr. med. Bernd Rose, Lutherstadt Eisleben, Frauenarzt, Arzt"
"Dr. med. Jens Wagner, Ahlerstedt, Allgemeinmediziner, Arzt"
" Grit Wilsdorf, Lutherstadt Eisleben, Fachärztin für Innere Medizin, Ärztin"
"Dr. Krum D. Petrov, Lutherstadt Eisleben, Facharzt für Innere Medizin, Arzt"
"Dr. med. Armin Stangl, Ingolstadt, Facharzt für Neurochirurgie, Arzt"
"Dr. med. Michael Ziesche, Mansfeld, Chirurg, Arzt"
"Dr. med. Annekatrin Roßbach, Mansfeld, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Ralf Eckert, Lutherstadt Eisleben, Urologe, Arzt"
"Dr. med. Ines Krone, Gerbstedt, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Dagmar Fangmann, Mansfeld, Anästhesistin, Ärztin"
"Dr. med. Petra Bubel, Benndorf, HNO Ärztin, Ärztin"
"Dipl. - Med. Steffen Lützkendorf, Helbra, Chirurg, Arzt"
"Dipl. - Med. Roland Geisler, Helbra, Facharzt für Innere Medizin, Arzt"
"Dr. med. Margot Bär, Benndorf, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Christina Telle, Helbra, Frauenärztin, Ärztin"
"Dr. med. Ina Wilberg, Klostermansfeld, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Angela Brummund, Helbra, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Eva-Maria Geisler, Helbra, Allgemeinmedizinerin, Ärztin"
"Dr. med. Wolfgang Reichel, Helbra, Allgemeinmediziner, Arzt"
"Dr. med. Michael Chalupka, Helbra, Anästhesist, Arzt"
"Dr. med. Andreas Müller, Ahlsdorf, Allgemeinmediziner, Arzt"
"Dr. med. Helge Hollberg, Buxtehude, Urologe, Arzt"
"Dr. med. Helga Trimde, Buxtehude, Allgemeinmedizinerin, Ärztin"
"Dr. med. Kai Raabe, Buxtehude, Orthopäde, Arzt"
"Dr. med. Janine Goeze, Buxtehude, Allgemeinmedizinerin, Ärztin"
"Dr. med. Marie-Therese Hillmann, Buxtehude, Frauenärztin, Ärztin"
" Susanna Wiemann, Buxtehude, Allgemeinmedizinerin, Ärztin"
" Anna Clara Tiburtius, Buxtehude, Hautärztin, Ärztin"
"Dr. med. Heinrich Förster, Buxtehude, Chirurg, Arzt"
" Helmut Gaul, Buxtehude, Chirurg, Arzt"
" Buket Sevim-Kuran, Buxtehude, Hautärztin, Ärztin"
"Dr. med. Mohammad Osman Ramez, Buxtehude, Augenarzt, Arzt"
" Erkan Dündar, Buxtehude, Facharzt für Innere Medizin, Arzt"
" Zakwan Alshehabi, Buxtehude, Facharzt für Innere Medizin, Arzt"
"Dr. med. Martin Böhm, Buxtehude, Facharzt für Innere Medizin, Arzt"
" Kathrin Listek, Buxtehude, Frauenärztin, Ärztin"
"Dr. med. Reza Shojaei, Buxtehude, Augenarzt, Arzt"
"Dr. med. Joachim Sendker, Buxtehude, Frauenarzt, Arzt"
"Dr. med. Christian Schuhmacher, Buxtehude, Facharzt für Innere Medizin, Arzt"
" Inga Beyer, Buxtehude, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Christian Buchholz, München, Facharzt für Innere Medizin, Arzt"
" Henning Wiemann, Buxtehude, Frauenarzt, Arzt"
"Dr. med. Hans-Wolfram Körner, Buxtehude, Chirurg, Arzt"
" Peter Beckmann, Buxtehude, Facharzt für Innere Medizin, Arzt"
" Branislava Singbartl, Buxtehude, HNO Ärztin, Ärztin"
"Dr. Dr. med. dent. Steffen Hohl, Buxtehude, Mund-Kiefer-Gesichtschirurg, Arzt"
" Abdullahi H. A. Kassim, Walsrode, Praktischer Arzt, Arzt"
"Dr. med. Heiko Ullrich, Lachendorf, Allgemeinmediziner, Arzt"
"Dr. med. Sina Ahlers, Walsrode, Augenärztin, Ärztin"
"Dr. med. Klaus Dellbrügge, Rethem (Aller), Neurologe, Arzt"
"Prof. Dr. med. Frank Schmitz, Walsrode, Facharzt für Innere Medizin, Arzt"
" Dorit Averbeck, Schwarmstedt, Allgemeinmedizinerin, Ärztin"
" Manfred Hansel, Schwarmstedt, Frauenarzt, Arzt"
" Christian Kupczyk, Schwarmstedt, Kinderarzt, Arzt"
"Dr. med. Elke Marie Gand, Schwarmstedt, Augenärztin, Ärztin"
" Christoph Seidel, Klostermansfeld, Allgemeinmediziner, Arzt"
" Abdelkader El-Moghier, Walsrode, Facharzt für Neurochirurgie, Arzt"
"PD Dr. med. Christian Ahlers, Walsrode, Augenarzt, Arzt"
" Lena Allert, Steimbke, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Andreas Müller, Walsrode, Augenarzt, Arzt"
" Jens Ino Kirchner, Walsrode, Chirurg, Arzt"
" Helmut Müller, Walsrode, Allgemeinmediziner, Arzt"
" Sophie Nordmann, Gilten, Anästhesistin, Ärztin"
" Ulrike Bartsch, Walsrode, Allgemeinmedizinerin, Ärztin"
"Dr. med. Matthias Zink, Walsrode, Allgemeinmediziner, Arzt"
" Karin Roller, Eickeloh, Allgemeinmedizinerin, Ärztin"
" Andrea Stendel, Walsrode, Allgemeinmedizinerin, Ärztin"
"Dr. med. Annette Fischer, Hademstorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Gerd-Dieter von Koschitzky, Walsrode, Chirurg, Arzt"
"Dr. med. Hans-Christof Berger, Grethem, Allgemeinmediziner, Arzt"
" Julija Lücke, Hodenhagen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Mayada Rifat, Ahlden (Aller), Allgemeinmedizinerin, Ärztin"
"Dr. med. Mohamad Rifat, Ahlden (Aller), Chirurg, Arzt"
"Dr. med. Jürgen Dreher, Eurasburg, Allgemeinmediziner, Arzt"
"Dr. med. Walter Skoruppa, Jetzendorf, Allgemeinmediziner, Arzt"
" Gerhard Höckmayr, Scheyern, Allgemeinmediziner, Arzt"
"Dr. med. Christoph Rupp, Schrobenhausen, Allgemeinmediziner, Arzt"
"Dr. med. Christian Hilscher, Friedberg, Mund-Kiefer-Gesichtschirurg, Arzt"
"Prof. Dr. med. Michael A. Scherer, Dachau, Chirurg, Arzt"
"Dr. med. Frank Sommerfeld, Odelzhausen, Orthopäde, Arzt"
"Dr. med. Robert Kipping, Odelzhausen, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Natalia Baumgartner, Erdweg, Allgemeinmedizinerin, Ärztin"
" Thomas Hary, Erdweg, Allgemeinmediziner, Arzt"
"Dr. med. Adrienne Mattauch, Markt Indersdorf, Orthopädin, Ärztin"
" Annabell Klink, Markt Indersdorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Andrea Backer, Markt Indersdorf, Praktische Ärztin, Ärztin"
"Dr. med. Ulrich Vogel, Odelzhausen, Orthopäde, Arzt"
"Dr. Dr. med. Imer Hajdari-Ritter, Markt Indersdorf, Frauenarzt, Arzt"
"Dr. med. Alexandra Hübner-Krombholz, Markt Indersdorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Volker Krombholz, Markt Indersdorf, Allgemeinmediziner, Arzt"
" Thomas Bartsch, Walsrode, Facharzt für Psychosom. Med.u.Psychotherap., Arzt"
"Dr. med. Reinhard Hellmann, Markt Indersdorf, Facharzt für Psychosom. Med.u.Psychotherap., Arzt"
" Kurt Huttenloher, Odelzhausen, Allgemeinmediziner, Arzt"
"Dr. med. Karola Erbel-Nowky, Markt Indersdorf, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Andreas Schneider, Erdweg, Allgemeinmediziner, Arzt"
"Dr. med. Mansoureh Englberger-Jeddi, Odelzhausen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Martha Flexeder-Böhm, Markt Indersdorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Albrecht Ross, Hilgertshausen-Tandern, Allgemeinmediziner, Arzt"
"Dr. med. Theodor Hegele, Erdweg, Allgemeinmediziner, Arzt"
"Dr. med. Andrea Backer, Erdweg, Praktische Ärztin, Ärztin"
" Veronika Auer, Altomünster, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Thomas Myslik, Altomünster, Chirurg, Arzt"
"Dr. med. Karl Kudorfer, Altomünster, Allgemeinmediziner, Arzt"
"Dr. med. Dominik Pfister, Obing, Allgemeinmediziner, Arzt"
"Dr. med. Rainald Schmieg, Halfing, Allgemeinmediziner, Arzt"
" Kerstin B. Menges, Wasserburg, Fachärztin für Innere Medizin, Ärztin"
" Cornelia Holzapfel-Schnepple, Obing, Frauenärztin, Ärztin"
"Dr. med. Angelika Biller, Bad Endorf, Praktische Ärztin, Ärztin"
"Dr. med. Florian Steinbeis, Bad Endorf, Praktischer Arzt, Arzt"
"Dr. med. Michaela Wruk, Bad Endorf, Kinderärztin, Ärztin"
" Jan Woernle, Eggstätt, Allgemeinmediziner, Arzt"
" Ulrich Steffan, Wasserburg, Anästhesist, Arzt"
"Dr. med. Peter Essendorfer, Bad Endorf, Facharzt für Innere Medizin, Arzt"
"Dr. med. Andreas Dagge, Odelzhausen, Allgemeinmediziner, Arzt"
"Dr. Claudia Kienzler, Bad Endorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Karin Groser, Wasserburg, Allgemeinmedizinerin, Ärztin"
"Dr. med. Dirk Hohenleitner, Obing, Facharzt für Innere Medizin, Arzt"
"Dr. med. Wolfgang Prokop, Bad Endorf, Allgemeinmediziner, Arzt"
"Dr. med. Manfred Beushausen, Söchtenau, Allgemeinmediziner, Arzt"
"Dr. med. Stefan Sesar, Wasserburg, Orthopäde, Arzt"
" Chia-Shun Hsieh, Griesstätt, Allgemeinmediziner, Arzt"
"Dr. med. Stefan Foag, Bad Endorf, Facharzt für Neurochirurgie, Arzt"
"Dr. Ursula Thomas-Cuntz, Bad Endorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Martin Kobilke, Bad Endorf, Frauenarzt, Arzt"
"Dr. med. Stefan Girbaci, Wasserburg, Facharzt für Innere Medizin, Arzt"
"Dr. Dr. medic. Diana Girbaci, Wasserburg, Allgemeinmedizinerin, Ärztin"
" Michael Peter Schlitter, Bad Endorf, Rehabilitationsarzt, Arzt"
"Dr. med. Raimund Arnold, Wasserburg, Allgemeinmediziner, Arzt"
"Dr. med. Heike Groh, Bad Endorf, Praktische Ärztin, Ärztin"
" Stefan Haipt, Höslwang, Allgemeinmediziner, Arzt"
"Dr. med. Markus Pöhmerer, Amerang, Facharzt für Innere Medizin, Arzt"
"Dr. med. Uta Flötzinger, Amerang, Psychotherapeutin, Ärztin"
" Wolfgang Reeh, Oppenheim, Facharzt für Innere Medizin, Arzt"
"Dr. med. Frank Enger, Biebesheim, Allgemeinmediziner, Arzt"
"Dr. med. Alfred Gall, Osthofen, Praktischer Arzt, Arzt"
" Reza Grimm-Mostofi, Oppenheim, Kinderarzt, Arzt"
"Dr. med. Martin Duhr, Oppenheim, Hautarzt, Arzt"
"Dr. med. Carl Christian Priester-Lasch, Osthofen, Allgemeinmediziner, Arzt"
"Dr. med. Simone Hirschburger, Westhofen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Markus Wallraven, Westhofen, Facharzt für Innere Medizin, Arzt"
"Dipl. - Med. Liliana Niermann, Biebesheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Marian Maier, Kulmbach, Plastischer Chirurg, Arzt"
"Dr. med. Viktor Fuchs, Worms, Allgemeinmediziner, Arzt"
" Michael Peter Kuplien, Oppenheim, Allgemeinmediziner, Arzt"
"Dr. med. Volker Naumann, Osthofen, Frauenarzt, Arzt"
" Manfred Peter Dostert, Oppenheim, Frauenarzt, Arzt"
"Dr. med. Gregor Dillmann, Oppenheim, Augenarzt, Arzt"
" Joachim Lukas, Dorn-Dürkheim, Allgemeinmediziner, Arzt"
"Dr. med. Carl Christian Priester-Lasch, Guntersblum, Allgemeinmediziner, Arzt"
"Dr. med. Dieter Emrich, Guntersblum, Allgemeinmediziner, Arzt"
"Dr. med. Helmut Zinsmeister, Bad Endorf, Frauenarzt, Arzt"
"Dr. med. Susanne Kohlmann, Gimbsheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Jochen Zuschlag, Gimbsheim, Allgemeinmediziner, Arzt"
"Dr. med. Günther Rink, Mettenheim, Allgemeinmediziner, Arzt"
"Dr. med. Karl-Ludwig Schreiber, Guntersblum, Praktischer Arzt, Arzt"
"Dr. med. Julia Brunk, Gimbsheim, Fachärztin für Innere Medizin, Ärztin"
" Petra-Dorothea Haust-Woggon, Gimbsheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Sabine Schneider, Gimbsheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Jürgen Schellenberg, Alsheim, Allgemeinmediziner, Arzt"
"Dr. med. Dieter Emrich, Alsheim, Allgemeinmediziner, Arzt"
"Dr. med. Christian Rohrer-Höffgen, Gersthofen, Hautarzt, Arzt"
"Dr. med. Claudia Zirngibl, Gersthofen, Frauenärztin, Ärztin"
" Sabih Gardizi, Oppenheim, Orthopäde und Unfallchirurg, Arzt"
"Dr. Tatjana Lorger, Gersthofen, Hautärztin, Ärztin"
"Dr. med. Frank Kibittel, Gersthofen, Augenarzt, Arzt"
"Dr. med. Anna Helmbrecht, Gersthofen, Frauenärztin, Ärztin"
" Gerald Storm, Gersthofen, Allgemeinmediziner, Arzt"
"Dr. med. Robert Glötzinger, Gersthofen, Allgemeinmediziner, Arzt"
"Dr. med. Robert Ivancic, Gersthofen, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Jan Schmitt-Bosslet, Augsburg, Allgemeinmediziner, Arzt"
" Philipp Höfner, Gersthofen, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Florian Schrimpf, Gersthofen, Orthopäde und Unfallchirurg, Arzt"
" Anna Fries, Gersthofen, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Kristina Schnabel, Gersthofen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Peter Römer, Augsburg, Facharzt für Innere Medizin, Arzt"
"Dr. med. Markus Bühne, Gersthofen, Frauenarzt, Arzt"
"Dr. med. Wolfgang Mayer, Gersthofen, Praktischer Arzt, Arzt"
"Dr. med. Werner Wolf, Augsburg, Praktischer Arzt, Arzt"
"Dr. med. Josef Fall, Gersthofen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Anja Weiser, Gersthofen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Maximilian Lutz, Gersthofen, Facharzt für Innere Medizin, Arzt"
" Roland Hembacher, Gersthofen, Allgemeinmediziner, Arzt"
"Dr. med. Peter Krey, Gersthofen, Frauenarzt, Arzt"
" Andreas Knauf, Gersthofen, Gefäßchirurg, Arzt"
"Dr. med. Erika Biehler, Affing, Allgemeinmedizinerin, Ärztin"
"Dr. med. Susanne Liebhold, Lutherstadt Eisleben, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Raphael Sturm, Affing, Kinderarzt, Arzt"
"Dr. med. Johannes Biehler, Affing, Facharzt für Innere Medizin, Arzt"
" Tetyana Baur, Affing, Fachärztin für Innere Medizin, Ärztin"
" Reinhard Danne, Affing, Allgemeinmediziner, Arzt"
" Jens Ebentheuer, Kassel, Neurologe, Arzt"
